Date,Scheme Name,ISIN,NAV
2015-09-14,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,18.58
2015-09-14,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,22.6699
2015-09-14,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,16.96
2015-09-14,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,152.632
2015-09-14,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,24.64
2015-09-14,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,323.059
2015-09-14,HSBC Large Cap Fund - Regular Growth,INF336L01016,143.1998
2015-09-14,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,52.1958
2015-09-14,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.145
2015-09-14,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,20.1321
2015-09-14,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,27.5514
2015-09-14,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,159.3474
2015-09-14,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,60.29
2015-09-14,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,87.663
2015-09-15,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,18.47
2015-09-15,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,22.5243
2015-09-15,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,16.83
2015-09-15,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,151.453
2015-09-15,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,24.55
2015-09-15,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,320.012
2015-09-15,HSBC Large Cap Fund - Regular Growth,INF336L01016,142.4724
2015-09-15,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,51.9494
2015-09-15,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.007
2015-09-15,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,19.9382
2015-09-15,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,27.429
2015-09-15,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,158.2704
2015-09-15,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,59.86
2015-09-15,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,86.8915
2015-09-16,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,18.56
2015-09-16,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,22.6925
2015-09-16,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,16.89
2015-09-16,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,151.348
2015-09-16,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,24.66
2015-09-16,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,322.423
2015-09-16,HSBC Large Cap Fund - Regular Growth,INF336L01016,143.6775
2015-09-16,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,52.4281
2015-09-16,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.031
2015-09-16,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,19.9509
2015-09-16,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,27.5774
2015-09-16,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,159.0682
2015-09-16,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,59.94
2015-09-16,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,87.2327
2015-09-18,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,18.76
2015-09-18,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,23.0146
2015-09-18,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,17.11
2015-09-18,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,152.871
