Date,Scheme Name,ISIN,NAV
2022-09-19,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,44.25
2022-09-19,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,49.722
2022-09-19,BANK OF INDIA Large Cap Fund Regular Plan Growth,INF761K01FO7,10.68
2022-09-19,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,INF251K01894,141.7629
2022-09-19,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,41.47
2022-09-19,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,291.985
2022-09-19,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,54.92
2022-09-19,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,727.371
2022-09-19,HSBC Large Cap Fund - Regular Growth,INF336L01016,319.2296
2022-09-19,ITI Large Cap Fund - Regular Plan - Growth Option,INF00XX01770,11.924
2022-09-19,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,100.646
2022-09-19,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,41.374
2022-09-19,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,40.2389
2022-09-19,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,INF174V01697,15.798
2022-09-19,quant Large Cap Fund - Growth Option - Regular Plan,INF966L01AW4,10.3913
2022-09-19,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,62.5046
2022-09-19,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth,INF903JA1IZ3,15.0354
2022-09-19,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,334.3976
2022-09-19,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,111.96
2022-09-19,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,193.7986
2022-09-20,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,44.67
2022-09-20,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,50.243
2022-09-20,BANK OF INDIA Large Cap Fund Regular Plan Growth,INF761K01FO7,10.81
2022-09-20,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,INF251K01894,143.168
2022-09-20,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,41.91
2022-09-20,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,296.345
2022-09-20,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,55.58
2022-09-20,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,734.288
2022-09-20,HSBC Large Cap Fund - Regular Growth,INF336L01016,323.0802
2022-09-20,ITI Large Cap Fund - Regular Plan - Growth Option,INF00XX01770,12.0592
2022-09-20,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,101.5352
2022-09-20,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,41.827
2022-09-20,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,40.6799
2022-09-20,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,INF174V01697,15.9671
2022-09-20,quant Large Cap Fund - Growth Option - Regular Plan,INF966L01AW4,10.4943
2022-09-20,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,63.2217
2022-09-20,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth,INF903JA1IZ3,15.2393
2022-09-20,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,338.1388
2022-09-20,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,113.35
2022-09-20,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,196.1971
2022-09-21,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,44.44
2022-09-21,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,50.041
2022-09-21,BANK OF INDIA Large Cap Fund Regular Plan Growth,INF761K01FO7,10.77
2022-09-21,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,INF251K01894,142.3087
2022-09-21,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,41.67
2022-09-21,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,294.289
2022-09-21,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,55.3
2022-09-21,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,730.106
2022-09-21,HSBC Large Cap Fund - Regular Growth,INF336L01016,321.4641
2022-09-21,ITI Large Cap Fund - Regular Plan - Growth Option,INF00XX01770,11.9775
2022-09-21,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,100.8517
2022-09-21,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,41.594
2022-09-21,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,40.4544
2022-09-21,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,INF174V01697,15.853
2022-09-21,quant Large Cap Fund - Growth Option - Regular Plan,INF966L01AW4,10.3569
2022-09-21,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,62.813
2022-09-21,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth,INF903JA1IZ3,15.1139
2022-09-21,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,335.5849
